ts,app,node,pg,inst
19:11:27.862,1,2,15,0
19:11:28.281,1,2,15,0
19:11:28.706,1,2,15,0
19:11:29.140,1,2,15,0
19:11:29.577,1,2,15,0
19:11:30.002,1,2,15,0
19:11:30.424,1,2,15,0
19:11:30.844,1,2,15,0
19:11:31.279,1,2,15,0
19:11:31.687,1,2,15,0
19:11:32.102,1,2,15,0
19:11:32.532,1,2,15,0
19:11:32.966,1,2,15,0
19:11:33.380,1,2,15,0
19:11:33.803,1,2,15,0
19:11:34.227,1,2,15,0
19:11:34.652,1,2,15,0
19:11:35.064,1,2,15,0
19:11:35.485,1,2,15,0
19:11:35.905,1,2,15,0
19:11:36.330,1,2,15,0
19:11:36.752,1,2,15,0
19:11:37.173,1,2,15,0
19:11:37.619,1,2,15,0
19:11:38.040,1,2,15,0
19:11:38.469,1,2,15,0
19:11:38.893,1,2,15,0
19:11:39.308,1,2,15,0
19:11:39.729,1,2,15,0
19:11:40.149,1,2,15,0
19:11:40.567,1,2,15,0
19:11:40.987,1,2,15,0
19:11:41.409,1,2,15,0
19:11:41.832,1,2,15,0
19:11:42.248,1,2,15,0
19:11:42.654,1,2,15,0
19:11:43.082,1,2,15,0
19:11:43.512,1,2,15,0
19:11:43.924,1,2,15,0
19:11:44.349,1,2,15,0
19:11:44.771,1,2,15,0
19:11:45.196,1,2,15,0
19:11:45.610,1,2,15,0
19:11:46.033,1,2,15,0
19:11:46.458,1,2,15,0
19:11:46.879,1,2,15,0
19:11:47.299,1,2,15,0
19:11:47.720,1,2,15,0
19:11:48.149,1,2,15,0
19:11:48.579,1,2,15,0
19:11:49.006,1,2,15,0
19:11:49.422,1,2,15,0
19:11:49.841,1,2,15,0
19:11:50.254,1,2,15,0
19:11:50.675,1,2,15,0
19:11:51.091,1,2,15,0
19:11:51.498,1,2,15,0
19:11:51.915,1,2,15,0
19:11:52.330,1,2,15,0
19:11:52.749,1,2,15,0
19:11:53.176,1,2,15,0
19:11:53.601,1,2,15,0
19:11:54.021,1,2,15,0
19:11:54.437,1,2,15,0
19:11:54.845,1,2,15,0
19:11:55.272,1,2,15,0
19:11:55.689,1,2,15,0
19:11:56.110,1,2,15,0
19:11:56.531,1,2,15,0
19:11:56.961,1,2,15,0
19:11:57.383,1,2,15,0
19:11:57.800,1,2,15,0
19:11:58.216,1,2,15,0
19:11:58.630,1,2,15,0
19:11:59.053,1,2,15,0
19:11:59.473,1,2,15,0
19:11:59.889,1,2,15,0
19:12:00.304,1,2,15,0
19:12:00.721,1,2,15,0
19:12:01.143,1,2,15,0
19:12:01.561,1,2,15,0
19:12:01.982,1,2,15,0
19:12:02.398,1,2,15,0
19:12:02.815,1,2,15,0
19:12:03.250,1,2,15,0
19:12:03.665,1,2,15,0
19:12:04.080,1,2,15,0
19:12:04.502,1,2,15,0
19:12:04.923,1,2,15,0
19:12:05.362,1,2,15,0
19:12:05.794,1,2,15,0
19:12:06.210,1,2,15,0
19:12:06.620,1,2,15,0
19:12:07.031,1,2,15,0
19:12:07.463,1,2,15,0
19:12:07.882,1,2,15,0
19:12:08.298,1,2,15,0
19:12:08.717,1,2,15,0
19:12:09.138,1,2,15,0
19:12:09.561,1,2,15,0
19:12:09.988,1,2,15,0
19:12:10.407,1,2,15,0
19:12:10.847,1,2,15,0
19:12:11.270,1,2,15,0
19:12:11.704,1,2,15,0
19:12:12.127,1,2,15,0
19:12:12.550,1,2,15,0
19:12:12.982,1,2,15,0
19:12:13.425,1,2,15,0
19:12:13.843,1,2,15,0
19:12:14.266,1,2,15,0
19:12:14.692,1,2,15,0
19:12:15.116,1,2,15,0
19:12:15.537,1,2,15,0
19:12:15.954,1,2,15,0
19:12:16.401,1,2,15,0
19:12:16.828,1,2,15,0
19:12:17.265,1,2,15,0
